O7_O6_ratio,C6_C4_ratio,C6_C5_ratio,Fe_O_ratio,O_ave_charge,velocity,density,Label
-0.9993407299444322,0.27102157830476215,0.1314172915309777,-1.991288659532615,-3.469446951953614e-17,0.4362131150127791,-1.7082355085489154,1.0
-0.4306401509397966,-0.5175416984664091,-0.4271960416350422,-0.3504635478468934,-2.7755575615628914e-17,-0.6942443608599973,1.6746167660769864,0.0
1.2020740570866233,0.4094703286714988,-0.2130612670275492,-0.8475416135475338,2.7755575615628914e-17,-1.1267465357502076,0.8120284692476565,0.0
-0.82151749518768,0.06386796196560389,-0.8234707564731598,-0.2768752740297507,-2.0816681711721685e-17,0.976957104217428,-1.6476247447298253,1.0
0.7400286415856951,0.10034173970607083,0.3490452617585391,-1.828376035371884,1.3877787807814457e-17,-1.1592554220992906,1.4848943180718142,0.0
0.6606798197060765,0.9225489755894375,0.7600919533482133,-0.6826902150217272,2.7755575615628914e-17,-1.4077473536046667,1.7647559346708879,0.0
0.18685298481719237,0.1292523282310152,0.6430248056935536,-0.2253270916119511,6.938893903907228e-18,-1.2266171146950064,0.3935858660463631,0.0
1.2223058595674154,-0.29639932141472514,-0.1931199504357748,1.6108758530367442,5.551115123125783e-17,-0.4862396428903162,0.953463191768684,0.0
0.1328725437723867,-1.0454730905017318,0.8505208469402759,-0.35191508599916693,-6.938893903907228e-18,-0.6629331364668377,1.528976226831955,0.0
-0.47573267940367836,-0.926780219747804,-1.0750787993499613,-0.5804334943543922,-1.3877787807814457e-17,-0.42480435462281274,1.6819450479220848,0.0
1.1217918700378593,1.4623615072069225,1.40155800679155,1.710697858326455,3.469446951953614e-17,-0.6709785543120388,0.12099079932173552,0.0
0.3966771468833188,0.9375271097270369,0.587138230714042,0.9672506718706533,1.3877787807814457e-17,-1.6649333830752837,1.8733017129170777,0.0
-1.5138117918070695,0.044322087527370865,-0.1686347644650026,-0.9060080935800356,-4.163336342344337e-17,-0.12559601734114026,-0.782978440253725,1.0
-0.7717881412691069,0.12498481898973816,0.23768642917125987,-0.3863226245577958,-3.469446951953614e-17,1.0224100749326133,-1.5706585038341554,1.0
-1.1194699633384189,-0.38140249793083253,-0.7622307832288817,-0.8424005317448662,-4.163336342344337e-17,0.3009603091361639,0.3747556446685913,1.0
2.2022503666148556,-0.05862710935385257,-0.6088626705296933,2.3232357653048834,9.71445146547012e-17,0.28249603632960796,0.6054017412797565,0.0
0.05738890250458085,0.6169484388443357,-2.21274644229918,0.9877867736119379,-6.938893903907228e-18,0.06331142818546051,-1.9923059151673332,1.0
1.1213664046460534,-0.5599523567819731,-0.9607428210817247,0.9236114728749952,6.938893903907228e-17,-1.103603758753495,1.5595400922144151,0.0
2.1117195997417184,0.3992898234335561,-0.3223827041743109,-1.1781787052056838,1.1796119636642288e-16,-2.0221668495407736,0.881820610757513,0.0
0.08724837197052661,-0.011414880811093545,-0.3479563004662027,-0.4703485228448731,-6.938893903907228e-18,-0.2000831444536634,1.1018724058041922,0.0
-0.2505217179532196,-0.9089227027992949,-1.0336271038164533,0.4971693633285065,-6.938893903907228e-18,-0.4190333113520586,0.6735993929197021,0.0
0.6145765579573196,-0.14069869710451927,0.5381097801684402,1.2958623783178242,1.3877787807814457e-17,-0.17841740595119882,1.243980144065742,0.0
1.6843706775138398,-0.21254136719344782,0.6953252530230682,-0.3260244047032891,9.020562075079397e-17,-1.0785884915074488,1.198564253226689,0.0
-0.3843309940107612,-0.6111042393171763,0.19177063273463985,0.2997943269150014,-6.938893903907228e-18,0.7968946414827666,-1.1765676661989313,1.0
-1.2979623440826775,-0.7079367017867104,-0.38922614998494753,-1.6108026573021288,-5.551115123125783e-17,1.1728956502312806,-0.6417849664576749,1.0
0.6926427818827406,0.06570177868034682,0.25573783762022856,-0.09072283580795736,4.85722573273506e-17,-0.8875641685694482,0.027766483381188617,0.0
-0.26929614091629145,-0.0894030601459263,0.5131729978898492,-0.5170509395263344,-6.938893903907228e-18,1.2735254741364206,-0.44640822493314364,1.0
-0.5330447520164779,0.5870228544870201,-0.4221661952451803,-0.6810140154588442,-2.0816681711721685e-17,0.7360876299971996,-1.4727721037141839,1.0
-0.9637795370366689,-0.20953102759921316,0.02347202662167989,-0.34359263088034386,-4.85722573273506e-17,0.14597751459427344,-1.2748481145382657,1.0
-0.4055048962117736,0.013898480010137094,0.5328389002416086,-0.7702283313667831,-2.0816681711721685e-17,0.3140515232523957,1.0013721253298242,0.0
0.5807263362117305,0.5578983208791293,1.1614617354017103,2.3916956579349087,1.3877787807814457e-17,-1.0415101263964284,1.4872149644961619,0.0
-0.604839579996296,-0.42402711246470837,-0.08439888476784826,0.1619121512924453,-3.469446951953614e-17,-0.26149124751728164,0.6516348150331428,0.0
-0.43942688199862484,0.12030721026491824,-0.5653601426415483,-1.5245005646347403,-6.938893903907228e-18,0.6755452017229557,-0.5888946710368108,1.0
-0.197606216147245,-0.46915652625998794,-0.3680555773311027,-0.5496129470267657,-6.938893903907228e-18,0.3664603597676133,1.366851867217482,0.0
-0.5443916341352689,-0.21497340227759326,-0.4010275441914113,-0.03660440152456402,-2.7755575615628914e-17,-0.8614858848234536,-0.37893129728275937,0.0
1.0181400872353206,-0.1795740668787816,-0.9823815834673709,1.064131240864375,6.245004513516506e-17,-1.4487948742151002,1.4413553814985764,0.0
-0.8116587302094505,-0.6146903948029205,-1.0370482436730797,-1.0941154031439855,-2.7755575615628914e-17,0.6393935337342719,-1.4141578995363768,1.0
